Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
GOLD - COMMODITY EXCHANGE INC.,241231,2024-12-31,088691,CMX ,1,88,458584,282907,35628,67921,60399,331695,411227,435244,47357,23340,458584,282907,35628,67921,60399,331695,411227,435244,47357,23340,0,0,0,0,0,0,0,0,0,0,    3938,   -6509,   -6159,    8640,    2263,     223,    4394,    2704,    -456,    1234,100.0,61.7,7.8,14.8,13.2,72.3,89.7,94.9,10.3,5.1,100.0,61.7,7.8,14.8,13.2,72.3,89.7,94.9,10.3,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265,157,49,60,35,50,213,140,265,157,49,60,35,50,213,140,0,0,0,0,0,0,0,0,23.7,40.2,33.3,57.6,19.4,37.2,26.9,50.1,23.7,40.2,33.3,57.6,19.4,37.2,26.9,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241224,2024-12-24,088691,CMX ,1,88,454646,289416,41787,59281,58136,331472,406833,432540,47813,22106,454646,289416,41787,59281,58136,331472,406833,432540,47813,22106,0,0,0,0,0,0,0,0,0,0,  -11925,  -13562,     850,    5088,   -2876,  -14773,  -11350,   -8835,    -575,   -3090,100.0,63.7,9.2,13.0,12.8,72.9,89.5,95.1,10.5,4.9,100.0,63.7,9.2,13.0,12.8,72.9,89.5,95.1,10.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278,163,54,64,35,51,220,149,278,163,54,64,35,51,220,149,0,0,0,0,0,0,0,0,22.6,39.6,32.3,56.0,19.8,37.3,27.7,50.5,22.6,39.6,32.3,56.0,19.8,37.3,27.7,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241217,2024-12-17,088691,CMX ,1,88,466571,302978,40937,54193,61012,346245,418183,441375,48388,25196,466571,302978,40937,54193,61012,346245,418183,441375,48388,25196,0,0,0,0,0,0,0,0,0,0,  -16775,  -21354,   -7809,    7652,   -5013,  -16651,  -18715,  -16808,    1940,      33,100.0,64.9,8.8,11.6,13.1,74.2,89.6,94.6,10.4,5.4,100.0,64.9,8.8,11.6,13.1,74.2,89.6,94.6,10.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282,167,52,64,38,50,228,145,282,167,52,64,38,50,228,145,0,0,0,0,0,0,0,0,22.9,40.6,33.3,57.0,20.8,38.4,28.8,51.9,22.9,40.6,33.3,57.0,20.8,38.4,28.8,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241210,2024-12-10,088691,CMX ,1,88,483346,324332,48746,46541,66025,362896,436898,458183,46448,25163,483346,324332,48746,46541,66025,362896,436898,458183,46448,25163,0,0,0,0,0,0,0,0,0,0,   21306,   16721,     871,    3700,    2774,   13370,   23195,   17941,   -1889,    3365,100.0,67.1,10.1,9.6,13.7,75.1,90.4,94.8,9.6,5.2,100.0,67.1,10.1,9.6,13.7,75.1,90.4,94.8,9.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314,178,64,74,40,56,249,166,314,178,64,74,40,56,249,166,0,0,0,0,0,0,0,0,21.0,41.2,31.6,58.0,20.2,39.2,28.6,53.8,21.0,41.2,31.6,58.0,20.2,39.2,28.6,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241203,2024-12-03,088691,CMX ,1,88,462040,307611,47875,42841,63251,349526,413703,440242,48337,21798,462040,307611,47875,42841,63251,349526,413703,440242,48337,21798,0,0,0,0,0,0,0,0,0,0,  -10620,    4210,   -5188,   -7467,   -9126,    4629,  -12383,   -8026,    1763,   -2594,100.0,66.6,10.4,9.3,13.7,75.6,89.5,95.3,10.5,4.7,100.0,66.6,10.4,9.3,13.7,75.6,89.5,95.3,10.5,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301,172,58,64,39,56,235,156,301,172,58,64,39,56,235,156,0,0,0,0,0,0,0,0,21.4,43.0,31.6,59.4,21.0,41.1,29.5,55.6,21.4,43.0,31.6,59.4,21.0,41.1,29.5,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241126,2024-11-26,088691,CMX ,1,88,472660,303401,53063,50308,72377,344897,426086,448268,46574,24392,472660,303401,53063,50308,72377,344897,426086,448268,46574,24392,0,0,0,0,0,0,0,0,0,0,  -30292,   -5953,  -21924,  -17410,   -1082,    9116,  -24445,  -30218,   -5847,     -74,100.0,64.2,11.2,10.6,15.3,73.0,90.1,94.8,9.9,5.2,100.0,64.2,11.2,10.6,15.3,73.0,90.1,94.8,9.9,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297,168,57,71,43,58,238,163,297,168,57,71,43,58,238,163,0,0,0,0,0,0,0,0,21.0,40.0,30.3,54.8,20.8,37.4,28.5,50.3,21.0,40.0,30.3,54.8,20.8,37.4,28.5,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241119,2024-11-19,088691,CMX ,1,88,502952,309354,74987,67718,73459,335781,450531,478486,52421,24466,502952,309354,74987,67718,73459,335781,450531,478486,52421,24466,0,0,0,0,0,0,0,0,0,0,  -33029,   -6871,   -4787,  -19853,   -1888,   -5148,  -28612,  -29788,   -4417,   -3241,100.0,61.5,14.9,13.5,14.6,66.8,89.6,95.1,10.4,4.9,100.0,61.5,14.9,13.5,14.6,66.8,89.6,95.1,10.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298,172,57,78,41,53,247,159,298,172,57,78,41,53,247,159,0,0,0,0,0,0,0,0,19.9,34.6,28.7,50.1,19.2,33.0,27.5,47.5,19.9,34.6,28.7,50.1,19.2,33.0,27.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241112,2024-11-12,088691,CMX ,1,88,535981,316225,79774,87571,75347,340929,479143,508274,56838,27707,535981,316225,79774,87571,75347,340929,479143,508274,56838,27707,0,0,0,0,0,0,0,0,0,0,  -22053,  -20591,   -1713,   -7723,    2060,  -15417,  -26254,  -24853,    4201,    2800,100.0,59.0,14.9,16.3,14.1,63.6,89.4,94.8,10.6,5.2,100.0,59.0,14.9,16.3,14.1,63.6,89.4,94.8,10.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312,181,66,91,38,51,255,176,312,181,66,91,38,51,255,176,0,0,0,0,0,0,0,0,19.3,32.0,28.9,47.6,18.1,30.5,26.3,44.0,19.3,32.0,28.9,47.6,18.1,30.5,26.3,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241105,2024-11-05,088691,CMX ,1,88,558034,336816,81487,95294,73287,356346,505397,533127,52637,24907,558034,336816,81487,95294,73287,356346,505397,533127,52637,24907,0,0,0,0,0,0,0,0,0,0,  -21434,  -29820,   -6496,    4829,    4352,  -16260,  -20639,  -17927,    -795,   -3507,100.0,60.4,14.6,17.1,13.1,63.9,90.6,95.5,9.4,4.5,100.0,60.4,14.6,17.1,13.1,63.9,90.6,95.5,9.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,180,63,81,37,50,245,171,311,180,63,81,37,50,245,171,0,0,0,0,0,0,0,0,19.2,32.3,30.2,47.6,17.3,31.2,25.7,43.3,19.2,32.3,30.2,47.6,17.3,31.2,25.7,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
GOLD - COMMODITY EXCHANGE INC.,241029,2024-10-29,088691,CMX ,1,88,579468,366636,87983,90465,68935,372606,526036,551054,53432,28414,579468,366636,87983,90465,68935,372606,526036,551054,53432,28414,0,0,0,0,0,0,0,0,0,0,    5708,   -5177,   12374,    8977,    2690,  -18340,    6490,    3011,    -782,    2697,100.0,63.3,15.2,15.6,11.9,64.3,90.8,95.1,9.2,4.9,100.0,63.3,15.2,15.6,11.9,64.3,90.8,95.1,9.2,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,191,74,75,35,50,258,172,334,191,74,75,35,50,258,172,0,0,0,0,0,0,0,0,19.2,31.4,29.5,45.9,17.0,29.9,25.4,41.9,19.2,31.4,29.5,45.9,17.0,29.9,25.4,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88
