date,Commercial Positions-Long (All),Commercial Positions-Short (All),comm_net,williams_cot_index
2024-01-02,108804,344282,-235478.0,
2024-01-09,106489,324190,-217701.0,
2024-01-16,109287,316707,-207420.0,
2024-01-23,113094,305187,-192093.0,
2024-01-30,117525,288043,-170518.0,
2024-02-06,104344,284585,-180241.0,
2024-02-13,109529,262509,-152980.0,
2024-02-20,106419,265830,-159411.0,
2024-02-27,108432,266784,-158352.0,
2024-03-05,104023,310815,-206792.0,
2024-03-12,129432,347705,-218273.0,
2024-03-19,138102,355632,-217530.0,
2024-03-26,141774,360114,-218340.0,
2024-04-02,127114,352828,-225714.0,
2024-04-09,128094,352676,-224582.0,
2024-04-16,132684,355442,-222758.0,
2024-04-23,129083,355955,-226872.0,
2024-04-30,126925,354423,-227498.0,
2024-05-07,124899,352165,-227266.0,
2024-05-14,133583,365693,-232110.0,
2024-05-21,118514,377177,-258663.0,
2024-05-28,109181,370131,-260950.0,
2024-06-04,83418,349349,-265931.0,
2024-06-11,82174,342685,-260511.0,
2024-06-18,83440,351170,-267730.0,
2024-06-25,86551,358039,-271488.0,0.0
2024-07-02,86905,351704,-264799.0,5.644344685590847
2024-07-09,92907,373536,-280629.0,0.0
2024-07-16,110041,419345,-309304.0,0.0
2024-07-23,102237,403162,-300925.0,5.360021493820526
2024-07-30,99015,371872,-272857.0,23.315037998004144
2024-08-06,88442,357476,-269034.0,25.76059977994422
2024-08-13,88313,380815,-292502.0,11.130690550638613
2024-08-20,86232,402738,-316506.0,0.0
2024-08-27,85102,407421,-322319.0,0.0
2024-09-03,80416,392303,-311887.0,9.955243393867677
2024-09-10,78232,385131,-306899.0,14.715285001288303
2024-09-17,74647,409774,-335127.0,0.0
2024-09-24,76713,416419,-339706.0,0.0
2024-10-01,67099,394623,-327524.0,10.41659540992578
2024-10-08,68957,372933,-303976.0,30.552040223005097
2024-10-15,70028,382686,-312658.0,23.97149795274474
2024-10-22,66245,390946,-324701.0,13.344895055140519
2024-10-29,68935,372606,-303671.0,32.048203486303805
2024-11-05,73287,356346,-283059.0,52.647867950481434
